2022-08-14 22:08:828 INFO  TradePage :103 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (100fd6990e27f075617b6784b5c46f9b)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 22:08:912 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 22:08:504 INFO  TradePage :104 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (0801bac6b6c9d5026aa05b1cb5c44398)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-14 22:08:552 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 22:08:128 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 22:08:28 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 22:08:16 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-14 22:08:353 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (8a4e88fe102ed77f6a3746b4588ecb98)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
2022-08-15 08:08:931 INFO  ManageDriver :31 - Launching Chrome Browser
2022-08-15 08:08:982 INFO  TradePage :102 - Clicking on trade Button: [[ChromeDriver: chrome on WINDOWS (17e1c76c3b6f41cb0d703d6bc9558ade)] -> xpath: //a[@href='/trade']//div[@data-qa='aside__icon']//i[@data-qa='icon-wrapper__container']//*[name()='svg']]
